index,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
868,40,35,122.4,88.7,33.0,0.6
869,40,35,123.1,89.9,32.3,0.9
870,40,40,123.1,85.8,36.1,1.2
871,40,40,128.7,90.8,36.5,1.4
872,40,40,124.3,88.4,33.9,2.0
873,40,40,124.4,88.0,35.5,0.9
874,40,40,121.8,83.9,36.9,1.1
875,40,40,120.1,82.6,36.8,0.8
876,40,40,124.5,88.5,34.9,1.1
877,40,40,125.7,88.7,35.8,1.2
878,40,40,123.0,86.1,36.1,0.9
879,40,40,123.6,85.7,37.5,0.3
880,40,45,126.2,86.2,39.8,0.2
881,40,45,127.8,88.9,38.3,0.7
882,40,45,127.3,89.5,36.2,1.5
883,40,45,128.8,89.7,38.3,0.8
884,40,45,124.4,84.9,39.2,0.4
885,40,45,125.6,86.5,39.0,0.1
886,40,45,124.7,87.7,36.3,0.7
887,40,45,127.0,88.7,37.6,0.7
888,40,45,130.1,90.8,37.4,1.9
889,40,45,125.5,87.2,37.9,0.5
890,40,50,127.3,86.0,40.3,1.0
891,40,50,131.5,90.3,39.8,1.5
892,40,50,129.8,90.4,38.8,0.6
893,40,50,128.3,86.2,41.1,1.1
894,40,50,132.0,91.2,39.9,0.9
895,40,50,125.6,82.7,42.1,0.8
896,40,50,135.6,94.8,38.2,2.6
897,40,50,124.6,83.5,40.4,0.7
898,40,50,129.7,89.7,39.1,0.9
899,40,50,128.6,86.0,42.1,0.6
900,45,5,128.1,106.3,19.7,2.1
901,45,5,126.9,104.3,20.4,2.2
902,45,5,128.2,105.5,19.7,3.0
903,45,5,126.0,104.6,20.0,1.4
904,45,5,129.2,106.3,19.4,3.5
905,45,5,126.1,103.1,20.4,2.7
906,45,5,126.9,102.3,20.7,3.8
907,45,5,128.8,107.2,19.0,2.7
908,45,5,130.7,107.8,19.0,3.9
909,45,5,133.3,110.7,17.3,5.3
910,45,10,128.8,103.8,24.7,0.3
911,45,10,130.1,104.6,24.6,0.9
912,45,10,128.1,102.3,24.8,1.0
913,45,10,128.4,103.4,24.5,0.5
914,45,10,129.9,103.6,24.5,1.8
915,45,10,131.3,105.0,24.7,1.5
916,45,10,131.5,106.8,23.5,1.2
917,45,10,129.5,103.3,24.2,2.0
918,45,10,130.9,106.2,24.0,0.7
919,45,10,128.4,101.5,25.9,1.0
920,45,15,129.3,99.8,28.6,0.9
921,45,15,131.5,102.7,27.7,1.1
922,45,15,131.3,101.6,29.0,0.7
923,45,15,133.3,104.7,27.8,0.8
924,45,15,130.0,100.0,29.6,0.4
925,45,15,133.6,105.4,27.4,0.7
926,45,15,132.0,103.2,28.5,0.3
927,45,15,132.6,104.4,26.8,1.3
928,45,15,133.2,104.0,28.3,0.9
929,45,15,129.2,99.7,29.1,0.4
930,45,20,129.1,96.6,31.9,0.6
931,45,20,129.4,97.2,30.7,1.5
932,45,20,133.7,102.8,30.1,0.8
933,45,20,130.9,99.9,30.6,0.5
934,45,20,127.4,94.8,32.1,0.5
935,45,20,131.9,99.3,31.8,0.8
936,45,20,130.0,98.8,30.3,0.9
937,45,20,135.4,104.4,29.8,1.1
938,45,20,129.9,98.8,29.1,2.0
939,45,20,133.9,102.0,31.6,0.4
940,45,25,126.9,92.4,34.2,0.3
941,45,25,129.7,95.1,33.8,0.8
942,45,25,128.2,92.6,34.7,0.9
943,45,25,129.9,97.2,31.9,0.8
944,45,25,128.9,95.0,32.9,0.9
945,45,25,132.3,99.3,31.7,1.3
946,45,25,127.5,92.8,33.6,1.2
947,45,25,126.2,93.6,32.1,0.5
948,45,25,126.7,91.8,34.1,0.7
949,45,25,129.7,96.4,31.5,1.8
950,45,30,127.7,91.6,35.5,0.6
951,45,30,125.9,90.1,35.0,0.8
952,45,30,126.3,89.3,36.4,0.6
953,45,30,126.1,89.2,36.3,0.5
954,45,30,127.6,93.0,33.4,1.1
955,45,30,133.2,98.8,33.7,0.7
956,45,30,130.2,94.1,35.3,0.8
957,45,30,129.8,94.5,34.2,1.1
958,45,30,120.6,83.8,36.1,0.6
959,45,30,130.0,94.9,34.3,0.8
960,45,35,129.7,91.0,37.8,0.9
961,45,35,126.1,87.7,38.3,0.2
962,45,35,127.5,88.2,38.6,0.7
963,45,35,128.5,91.5,36.2,0.7
964,45,35,128.9,91.0,37.7,0.3
965,45,35,129.5,91.3,37.4,0.9
966,45,35,131.8,94.6,35.9,1.3
967,45,35,125.1,84.4,40.5,0.3
968,45,35,129.2,92.4,35.7,1.1
969,45,35,132.5,93.3,38.2,1.0
970,45,40,129.9,88.1,40.8,0.9
971,45,40,129.1,88.4,39.6,1.0
972,45,40,133.9,92.0,41.1,0.8
973,45,40,131.2,91.9,38.6,0.7
974,45,40,131.5,91.1,39.3,1.1
975,45,40,128.8,87.8,40.5,0.5
976,45,40,130.1,87.2,42.7,0.1
977,45,40,134.2,94.7,38.3,1.2
978,45,40,130.0,88.4,41.1,0.5
979,45,40,129.0,89.0,39.3,0.7
980,45,45,130.4,87.5,42.8,0.2
981,45,45,132.8,88.3,44.2,0.2
982,45,45,129.7,84.5,44.8,0.4
983,45,45,125.5,79.9,45.3,0.3
984,45,45,134.6,92.5,41.6,0.5
985,45,45,128.1,84.3,43.1,0.6
986,45,45,128.8,85.4,43.3,0.2
987,45,45,134.3,90.9,42.2,1.1
988,45,45,135.4,92.7,42.2,0.5
989,45,45,131.3,89.3,41.7,0.3
990,45,50,133.4,87.7,45.4,0.3
991,45,50,131.9,86.3,45.0,0.6
992,45,50,131.0,84.1,46.7,0.1
993,45,50,135.6,89.7,45.7,0.3
994,45,50,133.3,86.1,46.3,0.9
995,45,50,131.4,85.5,45.6,0.3
996,45,50,136.4,90.3,45.9,0.2
997,45,50,134.7,89.2,45.0,0.5
998,45,50,130.0,83.9,44.8,1.2
999,45,50,131.4,83.8,47.4,0.1
1000,50,5,132.2,107.5,23.4,1.3
1001,50,5,133.6,110.6,22.4,0.6
1002,50,5,130.8,106.8,23.4,0.7
1003,50,5,132.2,106.9,23.8,1.5
1004,50,5,135.7,112.0,21.6,2.1
1005,50,5,131.8,106.7,24.3,0.8
1006,50,5,132.7,106.8,24.4,1.5
1007,50,5,133.1,108.7,22.9,1.4
1008,50,5,130.3,103.8,25.7,0.8
1009,50,5,136.0,111.5,22.4,2.1
1010,50,10,134.9,106.6,27.8,0.5
1011,50,10,134.1,105.4,28.3,0.4
1012,50,10,133.2,103.6,29.4,0.2
1013,50,10,134.4,104.0,30.2,0.3
1014,50,10,136.7,109.0,27.2,0.5
1015,50,10,133.3,104.6,28.5,0.2
1016,50,10,135.2,105.4,29.1,0.7
1017,50,10,135.0,104.2,30.0,0.9
1018,50,10,139.0,111.8,25.7,1.5
1019,50,10,131.8,101.9,29.6,0.3
1020,50,15,137.9,105.4,32.1,0.4
1021,50,15,137.5,103.8,33.6,0.1
1022,50,15,140.1,107.6,31.4,1.1
